x,y
-0.61184,-0.822979
-0.606873,-0.826567
-0.601884,-0.830125
-0.596873,-0.833653
-0.59184,-0.83715
-0.586786,-0.840618
-0.581711,-0.844055
-0.576614,-0.847462
-0.571497,-0.850838
-0.56636,-0.854183
-0.561201,-0.857497
-0.556023,-0.86078
-0.550824,-0.864033
-0.545606,-0.867254
-0.540367,-0.870443
-0.535109,-0.873601
-0.529832,-0.876728
-0.524536,-0.879823
-0.51922,-0.882885
-0.513886,-0.885916
-0.508533,-0.888915
-0.503162,-0.891882
-0.497773,-0.894816
-0.492365,-0.897718
-0.48694,-0.900587
-0.481497,-0.903423
-0.476036,-0.906227
-0.470558,-0.908998
-0.465063,-0.911736
-0.459552,-0.914441
-0.454023,-0.917113
-0.448478,-0.919751
-0.442917,-0.922356
-0.43734,-0.924927
-0.431747,-0.927465
-0.426138,-0.929969
-0.420513,-0.932439
-0.414874,-0.934876
-0.409219,-0.937278
-0.403549,-0.939646
-0.397865,-0.94198
-0.392166,-0.94428
-0.386453,-0.946546
-0.380726,-0.948777
-0.374985,-0.950973
-0.36923,-0.953135
-0.363462,-0.955262
-0.35768,-0.957354
-0.351886,-0.959411
-0.346079,-0.961433
-0.340259,-0.963421
-0.334426,-0.965373
-0.328582,-0.967289
-0.322725,-0.969171
-0.316857,-0.971017
-0.310977,-0.972828
-0.305086,-0.974603
-0.299184,-0.976342
-0.29327,-0.978046
-0.287346,-0.979714
-0.281412,-0.981347
-0.275467,-0.982943
-0.269512,-0.984503
-0.263547,-0.986028
-0.257573,-0.987516
-0.251589,-0.988968
-0.245596,-0.990384
-0.239594,-0.991764
-0.233583,-0.993107
-0.227563,-0.994414
-0.221536,-0.995684
-0.2155,-0.996918
-0.209456,-0.998116
-0.203405,-0.999276
-0.197346,-1.0004
-0.191279,-1.00149
-0.185206,-1.00254
-0.179126,-1.00355
-0.17304,-1.00453
-0.166947,-1.00547
-0.160848,-1.00637
-0.154743,-1.00724
-0.148632,-1.00807
-0.142516,-1.00886
-0.136395,-1.00961
-0.130268,-1.01033
-0.124137,-1.01101
-0.118001,-1.01166
-0.111861,-1.01226
-0.105717,-1.01283
-0.0995687,-1.01336
-0.0934169,-1.01386
-0.0872616,-1.01431
-0.0811032,-1.01473
-0.0749417,-1.01511
-0.0687775,-1.01546
-0.0626107,-1.01576
-0.0564417,-1.01603
-0.0502705,-1.01627
-0.0440975,-1.01646
-0.0379228,-1.01662
-0.0317468,-1.01674
-0.0255696,-1.01682
-0.0193914,-1.01686
-0.0132125,-1.01687
-0.00703317,-1.01684
-0.000853538,-1.01677
0.00532612,-1.01666
0.0115056,-1.01652
0.0176846,-1.01633
0.023863,-1.01611
0.0300405,-1.01586
0.0362169,-1.01556
0.0423919,-1.01523
0.0485654,-1.01486
0.0547371,-1.01445
0.0609067,-1.01401
0.0670741,-1.01352
0.073239,-1.013
0.0794011,-1.01245
0.0855604,-1.01185
0.0917164,-1.01122
0.097869,-1.01054
0.104018,-1.00984
0.110163,-1.00909
0.116304,-1.00831
0.122441,-1.00748
0.128573,-1.00663
0.1347,-1.00573
0.140823,-1.0048
0.14694,-1.00382
0.153051,-1.00282
0.159157,-1.00177
0.165257,-1.00069
0.171351,-0.999566
0.177438,-0.998408
0.183519,-0.997213
0.189593,-0.995981
0.19566,-0.994711
0.20172,-0.993405
0.207772,-0.992061
0.213816,-0.99068
0.219852,-0.989262
0.22588,-0.987807
0.2319,-0.986315
0.237911,-0.984786
0.243913,-0.983221
0.249906,-0.981618
0.255889,-0.979979
0.261863,-0.978303
0.267827,-0.976591
0.273781,-0.974842
0.279725,-0.973056
0.285659,-0.971234
0.291581,-0.969376
0.297493,-0.967481
0.303394,-0.96555
0.309283,-0.963582
0.31516,-0.961579
0.321026,-0.959539
0.32688,-0.957463
0.332721,-0.955352
0.33855,-0.953204
0.344366,-0.951021
0.350169,-0.948802
0.355959,-0.946547
0.361736,-0.944256
0.367499,-0.94193
0.373248,-0.939569
0.378984,-0.937172
0.384704,-0.93474
0.390411,-0.932272
0.396102,-0.92977
0.401779,-0.927232
0.407441,-0.92466
0.413087,-0.922053
0.418718,-0.919411
0.424333,-0.916734
0.429931,-0.914022
0.435514,-0.911276
0.44108,-0.908496
0.44663,-0.905681
0.452162,-0.902833
0.457678,-0.89995
0.463176,-0.897033
0.468657,-0.894082
0.47412,-0.891097
0.479565,-0.888078
0.484992,-0.885026
0.4904,-0.881941
0.49579,-0.878822
0.501162,-0.87567
0.506514,-0.872484
0.511847,-0.869266
0.517161,-0.866015
0.522455,-0.86273
0.527729,-0.859413
0.532983,-0.856064
0.538217,-0.852682
0.543431,-0.849268
0.548624,-0.845821
0.553796,-0.842342
0.558947,-0.838832
0.564077,-0.835289
