x_sol,y_sol,x_mer,y_mer,x_ven,y_ven,x_ter,y_ter,x_mar,y_mar
4.61462e-06,3.09048e-06,-0.237068,-0.358935,-0.274477,0.699306,0.344099,0.949389,1.21114,0.928365
4.64809e-06,3.12961e-06,-0.228972,-0.363164,-0.281152,0.696847,0.338272,0.951573,1.20806,0.932407
4.68153e-06,3.16897e-06,-0.22077,-0.367226,-0.287801,0.694325,0.332433,0.953721,1.20496,0.936437
4.71493e-06,3.20857e-06,-0.212466,-0.371117,-0.294424,0.69174,0.326581,0.955833,1.20185,0.940458
4.74829e-06,3.24841e-06,-0.204063,-0.374836,-0.30102,0.689092,0.320717,0.957909,1.19873,0.944468
4.78161e-06,3.28848e-06,-0.195564,-0.378379,-0.307589,0.686382,0.31484,0.959949,1.19559,0.948468
4.81489e-06,3.32878e-06,-0.186973,-0.381744,-0.314131,0.68361,0.308952,0.961952,1.19244,0.952457
4.84812e-06,3.36932e-06,-0.178293,-0.384928,-0.320643,0.680776,0.303052,0.963919,1.18928,0.956435
4.8813e-06,3.41009e-06,-0.169528,-0.387928,-0.327127,0.677881,0.297141,0.96585,1.1861,0.960403
4.91443e-06,3.4511e-06,-0.160682,-0.390742,-0.333582,0.674925,0.291218,0.967745,1.18291,0.964361
4.94752e-06,3.49233e-06,-0.151759,-0.393367,-0.340006,0.671908,0.285284,0.969602,1.17971,0.968308
4.98056e-06,3.53379e-06,-0.142762,-0.395802,-0.3464,0.66883,0.27934,0.971424,1.1765,0.972244
5.01354e-06,3.57548e-06,-0.133695,-0.398044,-0.352763,0.665692,0.273385,0.973209,1.17327,0.97617
5.04647e-06,3.6174e-06,-0.124562,-0.40009,-0.359094,0.662495,0.26742,0.974957,1.17003,0.980084
5.07935e-06,3.65955e-06,-0.115368,-0.401939,-0.365392,0.659237,0.261445,0.976668,1.16677,0.983988
5.11217e-06,3.70192e-06,-0.106117,-0.403588,-0.371658,0.655921,0.25546,0.978343,1.16351,0.987881
5.14493e-06,3.74452e-06,-0.0968127,-0.405035,-0.377891,0.652546,0.249465,0.979981,1.16023,0.991763
5.17763e-06,3.78734e-06,-0.0874598,-0.406279,-0.384089,0.649112,0.243461,0.981582,1.15694,0.995634
5.21027e-06,3.83038e-06,-0.0780626,-0.407317,-0.390253,0.64562,0.237448,0.983146,1.15363,0.999495
5.24286e-06,3.87364e-06,-0.0686258,-0.408149,-0.396382,0.64207,0.231426,0.984673,1.15031,1.00334
5.27538e-06,3.91713e-06,-0.0591538,-0.408771,-0.402476,0.638462,0.225395,0.986163,1.14698,1.00718
5.30783e-06,3.96083e-06,-0.0496514,-0.409184,-0.408534,0.634798,0.219356,0.987616,1.14364,1.01101
5.34022e-06,4.00476e-06,-0.0401234,-0.409384,-0.414555,0.631077,0.213308,0.989032,1.14028,1.01482
5.37255e-06,4.0489e-06,-0.0305744,-0.409372,-0.420539,0.627299,0.207253,0.990411,1.13692,1.01863
5.40481e-06,4.09326e-06,-0.0210095,-0.409145,-0.426486,0.623466,0.201189,0.991752,1.13353,1.02242
5.437e-06,4.13783e-06,-0.0114334,-0.408703,-0.432394,0.619576,0.195119,0.993057,1.13014,1.02621
5.46912e-06,4.18262e-06,-0.00185135,-0.408045,-0.438264,0.615632,0.18904,0.994324,1.12674,1.02998
5.50117e-06,4.22762e-06,0.00773171,-0.407169,-0.444095,0.611632,0.182955,0.995553,1.12332,1.03374
5.53314e-06,4.27284e-06,0.0173106,-0.406076,-0.449886,0.607579,0.176863,0.996746,1.11989,1.03748
5.56505e-06,4.31826e-06,0.0268803,-0.404764,-0.455637,0.603471,0.170764,0.997901,1.11644,1.04122
5.59688e-06,4.3639e-06,0.0364353,-0.403232,-0.461348,0.599309,0.164659,0.999018,1.11299,1.04495
