x_soleil,y_soleil,x_terre,y_terre
3.33907e-06,0.000214158,-0.313023,-0.820141
3.1268e-06,0.000214423,-0.242267,-0.831377
2.9102e-06,0.000214672,-0.170068,-0.837659
2.69045e-06,0.000214907,-0.0968165,-0.838756
2.46883e-06,0.000215125,-0.0229434,-0.834468
2.24675e-06,0.000215326,0.051082,-0.824639
2.02573e-06,0.00021551,0.124758,-0.809165
1.80733e-06,0.000215678,0.197557,-0.788001
1.5932e-06,0.000215828,0.268934,-0.761168
1.38498e-06,0.000215962,0.338341,-0.728754
1.1843e-06,0.000216079,0.405233,-0.690922
9.92743e-07,0.000216181,0.469086,-0.647906
8.11785e-07,0.000216268,0.529405,-0.600008
6.42776e-07,0.000216342,0.585741,-0.547595
4.86908e-07,0.000216403,0.637697,-0.491085
3.45189e-07,0.000216453,0.684937,-0.430941
2.18428e-07,0.000216494,0.727191,-0.367659
1.07227e-07,0.000216528,0.764258,-0.301752
1.19818e-08,0.000216554,0.796006,-0.233745
-6.71097e-08,0.000216576,0.82237,-0.164154
-1.30034e-07,0.000216595,0.843345,-0.0934871
-1.76945e-07,0.000216612,0.858982,-0.0222266
-2.08141e-07,0.000216629,0.86938,0.0491708
-2.24045e-07,0.000216647,0.874682,0.120281
-2.25181e-07,0.000216666,0.87506,0.190716
-2.12154e-07,0.000216689,0.870718,0.260123
-1.85629e-07,0.000216715,0.861876,0.328186
-1.46313e-07,0.000216747,0.848771,0.394628
-9.49428e-08,0.000216784,0.831648,0.459202
-3.22693e-08,0.000216827,0.810756,0.521697
4.09526e-08,0.000216878,0.786349,0.58193
1.23972e-07,0.000216935,0.758676,0.639747
2.16051e-07,0.000217,0.727983,0.695019
3.16466e-07,0.000217073,0.694511,0.747639
4.24515e-07,0.000217154,0.658495,0.79752
5.3952e-07,0.000217244,0.62016,0.844593
6.60826e-07,0.000217342,0.579725,0.888808
7.87805e-07,0.000217449,0.537398,0.930123
9.19855e-07,0.000217565,0.493382,0.968513
1.0564e-06,0.000217689,0.447866,1.00396
1.19689e-06,0.000217823,0.401036,1.03646
1.3408e-06,0.000217965,0.353065,1.06602
1.48764e-06,0.000218116,0.304121,1.09264
1.63691e-06,0.000218276,0.254364,1.11633
1.78817e-06,0.000218444,0.203944,1.13712
1.94098e-06,0.000218621,0.153008,1.15503
2.09492e-06,0.000218807,0.101694,1.17009
2.2496e-06,0.000219001,0.0501344,1.18233
2.40463e-06,0.000219204,-0.00154323,1.19178
2.55965e-06,0.000219414,-0.0532173,1.19847
2.71431e-06,0.000219633,-0.104771,1.20246
2.86827e-06,0.00021986,-0.156091,1.20377
3.02121e-06,0.000220095,-0.207071,1.20245
3.17281e-06,0.000220338,-0.257604,1.19854
3.32277e-06,0.000220588,-0.307591,1.19209
3.4708e-06,0.000220846,-0.356933,1.18314
3.61661e-06,0.000221111,-0.405536,1.17174
3.75992e-06,0.000221383,-0.453306,1.15793
3.90046e-06,0.000221662,-0.500154,1.14177
4.03797e-06,0.000221948,-0.545991,1.1233
4.1722e-06,0.000222241,-0.590733,1.10258
4.30288e-06,0.000222541,-0.634294,1.07966
4.42977e-06,0.000222847,-0.67659,1.05458
4.55262e-06,0.00022316,-0.717542,1.02741
4.6712e-06,0.000223478,-0.757066,0.998196
4.78525e-06,0.000223803,-0.795085,0.966996
4.89455e-06,0.000224133,-0.831518,0.933868
4.99886e-06,0.000224469,-0.866288,0.898873
5.09795e-06,0.00022481,-0.899316,0.862071
5.19157e-06,0.000225156,-0.930524,0.823525
5.27951e-06,0.000225508,-0.959836,0.7833
5.36152e-06,0.000225864,-0.987173,0.741465
5.43738e-06,0.000226225,-1.01246,0.69809
5.50685e-06,0.000226591,-1.03562,0.653248
5.5697e-06,0.00022696,-1.05657,0.607015
5.62571e-06,0.000227334,-1.07524,0.559471
5.67464e-06,0.000227711,-1.09155,0.510699
5.71625e-06,0.000228091,-1.10542,0.460787
5.75032e-06,0.000228475,-1.11677,0.409828
5.77661e-06,0.000228862,-1.12554,0.357918
5.7949e-06,0.000229251,-1.13163,0.30516
5.80495e-06,0.000229642,-1.13498,0.251662
5.80654e-06,0.000230035,-1.13551,0.197539
5.79944e-06,0.00023043,-1.13315,0.142913
5.78344e-06,0.000230826,-1.12781,0.0879136
5.75832e-06,0.000231223,-1.11944,0.0326776
5.72387e-06,0.000231619,-1.10796,-0.0226485
5.67989e-06,0.000232016,-1.0933,-0.0779091
5.6262e-06,0.000232412,-1.0754,-0.132938
5.56263e-06,0.000232807,-1.05421,-0.187559
5.48903e-06,0.0002332,-1.02968,-0.241585
5.40525e-06,0.00023359,-1.00175,-0.294814
5.3112e-06,0.000233978,-0.970399,-0.347034
5.20679e-06,0.000234362,-0.935598,-0.39802
5.092e-06,0.000234741,-0.897334,-0.447531
4.96683e-06,0.000235115,-0.85561,-0.495316
4.83133e-06,0.000235483,-0.810444,-0.541108
4.68563e-06,0.000235845,-0.761876,-0.584627
4.5299e-06,0.000236199,-0.709967,-0.625582
4.36442e-06,0.000236544,-0.654807,-0.66367
4.18954e-06,0.000236879,-0.596513,-0.698582
4.00571e-06,0.000237204,-0.535236,-0.729998
3.81349e-06,0.000237518,-0.471164,-0.757601
3.61357e-06,0.000237819,-0.404522,-0.781071
3.40674e-06,0.000238107,-0.33558,-0.800098
3.19395e-06,0.000238381,-0.26465,-0.814387
2.97628e-06,0.00023864,-0.192092,-0.82366
2.75492e-06,0.000238883,-0.118307,-0.827672
2.53122e-06,0.000239109,-0.0437402,-0.826214
2.30663e-06,0.000239319,0.0311247,-0.819125
2.08269e-06,0.000239511,0.105772,-0.806296
1.86102e-06,0.000239686,0.17966,-0.787683
1.6433e-06,0.000239844,0.252235,-0.763309
1.43119e-06,0.000239985,0.322938,-0.733271
1.22634e-06,0.000240109,0.391222,-0.697735
1.03032e-06,0.000240217,0.456559,-0.656945
8.44619e-07,0.000240311,0.51846,-0.611207
6.70561e-07,0.000240391,0.57648,-0.560892
5.09318e-07,0.000240458,0.630227,-0.506418
3.61874e-07,0.000240515,0.679375,-0.448247
2.29013e-07,0.000240561,0.723662,-0.386867
1.11319e-07,0.0002406,0.762894,-0.322782
9.17335e-09,0.000240632,0.796942,-0.256503
-7.72297e-08,0.000240659,0.825743,-0.188533
-1.47872e-07,0.000240682,0.849291,-0.119363
-2.0289e-07,0.000240703,0.86763,-0.0494585
-2.42558e-07,0.000240724,0.880853,0.0207388
-2.67265e-07,0.000240744,0.889088,0.0908199
-2.77492e-07,0.000240766,0.892497,0.160409
-2.73795e-07,0.000240791,0.891265,0.229166
-2.56788e-07,0.000240819,0.885596,0.296783
-2.27124e-07,0.000240851,0.875708,0.362987
-1.85481e-07,0.000240888,0.861827,0.427537
-1.32554e-07,0.000240931,0.844185,0.490223
-6.90432e-08,0.00024098,0.823014,0.55086
4.35516e-09,0.000241036,0.798548,0.609293
8.6953e-08,0.000241098,0.771016,0.665387
1.78076e-07,0.000241168,0.740641,0.719029
2.77066e-07,0.000241246,0.707645,0.770126
3.83287e-07,0.000241331,0.672238,0.818601
4.96122e-07,0.000241425,0.634626,0.864392
6.14976e-07,0.000241526,0.595008,0.907451
7.3928e-07,0.000241636,0.553573,0.947741
8.68483e-07,0.000241755,0.510506,0.985235
